full_title,guest,length,views,likes,dislikes,date,comments,likes/dislikes,views/likes,views/comments
Первый рок-фест в СССР,Первый рок-фест в СССР,92,5003552,188000.0,13000.0,2019-02-12,20041,14.461538461538462,26.61463829787234,249.66578514046205
"Лимонов - смерть, Навальный, устрицы",Лимонов ,71,5234669,80000.0,73000.0,2018-08-28,33878,1.095890410958904,65.4333625,154.51529015880513
"Кинчев - чувства верующих, самогон, рок-н-ролл",Кинчев ,69,4940724,89000.0,33000.0,2018-09-25,26230,2.696969696969697,55.51375280898876,188.361570720549
"Нурлан Сабуров - семья, страх, ЧтоБылоДальше",Нурлан Сабуров ,70,19069666,580000.0,24000.0,2019-10-08,33637,24.166666666666668,32.878734482758624,566.9252906026102
"Доренко - о русском народе, Путине и деньгах",Доренко ,82,8003133,130000.0,38000.0,2018-08-14,36549,3.4210526315789473,61.56256153846154,218.96995813838956
Максим Фадеев - о конфликте с Эрнстом и русском рэпе,Максим Фадеев ,52,8617415,167000.0,11000.0,2017-05-16,30239,15.181818181818182,51.6012874251497,284.97685108634545
"Бурунов - ЦСКА, Ди Каприо, психотерапевт",Бурунов ,63,17914248,475000.0,19000.0,2018-12-05,39552,25.0,37.714206315789475,452.92900485436894
"ГРОТ - рэп о том, как живет Россия",ГРОТ ,72,5164581,187000.0,13000.0,2019-06-25,24401,14.384615384615385,27.618080213903742,211.6544813737142
Невзоров - о Фараоне и ориентации Милонова,Невзоров ,85,14283476,325000.0,26000.0,2018-01-30,47119,12.5,43.94915692307692,303.13622954646746
Иван Дорн - об оттепели и Егоре Криде,Иван Дорн ,57,5903222,113000.0,13000.0,2017-04-11,7899,8.692307692307692,52.240902654867256,747.3378908722623
Johnyboy - жизнь после поражения от Оксимирона,Johnyboy ,97,9000222,305000.0,26000.0,2018-09-11,35304,11.73076923076923,29.508924590163936,254.9349082256968
"Гуриев - пенсионная реформа, демедведизация, доллар",Гуриев ,74,14023250,499000.0,20000.0,2019-10-01,59415,24.95,28.102705410821642,236.02204830430026
Петров - о BadComedian и лучшем русском режиссере,Петров ,56,9611793,219000.0,25000.0,2017-12-25,22545,8.76,43.88946575342466,426.338123752495
Русский Голливуд,Русский Голливуд,99,6111815,183000.0,9300.0,2019-04-02,16078,19.677419354838708,33.39789617486339,380.1352780196542
Серебряков - об эмиграции и законе подлецов,Серебряков ,61,11271126,330000.0,19000.0,2018-02-20,48101,17.36842105263158,34.15492727272727,234.32207230618906
"Деревянко – депрессия, Венесуэла, фрилав",Деревянко ,86,7556034,218000.0,22000.0,2020-05-19,24903,9.909090909090908,34.66070642201835,303.4186242621371
Ира Горбачева – очень необычная актриса,Ира Горбачева ,102,10275315,291000.0,19000.0,2020-04-07,32108,15.31578947368421,35.31036082474227,320.0235143889373
«Порнофильмы» - песни о сегодняшней России,«Порнофильмы» ,75,5035348,224000.0,15000.0,2019-10-15,30080,14.933333333333334,22.479232142857143,167.39853723404255
Русская Замбия,Русская Замбия,49,5006076,262000.0,13000.0,2019-05-07,23833,20.153846153846153,19.107160305343513,210.04808458859566
Как устроена IT-столица мира,Как устроена IT-столица мира,187,25183213,821000.0,27000.0,2020-04-23,73167,30.40740740740741,30.673828258221683,344.188131261361
Олег Табаков: как он воспитывал свободных людей,Олег Табаков,79,3132956,97000.0,8100.0,2018-11-20,8057,11.975308641975309,32.298515463917525,388.8489512225394
"Влади (Каста) - о Навальном, новом альбоме и Максе Корже",Влади (Каста) ,56,3851167,99000.0,8900.0,2017-05-23,13749,11.123595505617978,38.90067676767677,280.10524401774677
Ефремов - жить в России и кайфовать,Ефремов ,72,10079640,172000.0,19000.0,2018-06-05,28006,9.052631578947368,58.602558139534885,359.9100192815825
"Ходорковский - об олигархах, Ельцине и тюрьме",Ходорковский ,82,16518370,238000.0,28000.0,2017-08-08,34609,8.5,69.40491596638655,477.2853881938224
"Юрий Быков - о ""Методе"", Хабенском и BadComedian",Юрий Быков ,63,5102332,161000.0,6100.0,2017-06-20,9937,26.39344262295082,31.691503105590062,513.4680487068532
"Венедиктов - Путин, Путин, Леся, Путин",Венедиктов ,97,10161411,164000.0,30000.0,2018-03-13,35607,5.466666666666667,61.95982317073171,285.37677984665936
Давидыч - огромное интервью о жизни после тюрьмы,Давидыч ,135,17032956,475000.0,222000.0,2019-05-15,179952,2.1396396396396398,35.858854736842105,94.65277407308615
